,Model,Accuracy,Precision,Recall,F1score,Runtime [s],Date
0,LogisticRegression,0.9633038036664942,0.9639555403795848,0.9636217102520634,0.9618508945113832,949.99,2023-03-08 10:27:00.451709
0,LinearSVC,0.9740032435173064,0.9737485164134094,0.9740032435173064,0.9735019679899148,161.26,2023-03-08 10:29:56.530598
0,MultinomialNB,0.7876364343535017,0.8236775069704975,0.7949744305137382,0.7653365750685706,34.02,2023-03-08 10:30:44.500480
0,RandomForestClassifier,0.9751249309797576,0.9753423899392376,0.9751249309797576,0.9747718576101264,10059.97,2023-03-08 13:18:38.171668
0,GradientBoostingClassifier,0.952385582669755,0.954546113417144,0.952385582669755,0.9492807134525152,23036.68,2023-03-08 19:42:48.375709
0,LogisticRegression,0.9631197496865872,0.9639942323202628,0.9634375955312232,0.9614634009577998,957.12,2023-03-08 20:03:40.809267
0,LinearSVC,0.9738434985536136,0.973538531766062,0.9738434985536136,0.973330206386356,182.95,2023-03-08 20:06:46.494811
0,MultinomialNB,0.7859556395181259,0.8231121454547004,0.7942300471295871,0.7639701591285272,38.2,2023-03-08 20:07:27.585383
0,RandomForestClassifier,0.9724162120301848,0.971210340550722,0.9724229659289408,0.971093370541839,11314.86,2023-03-08 23:16:04.737468
0,GradientBoostingClassifier,0.953135648769138,0.9559671646348944,0.9531439237731426,0.9494958038450092,21950.82,2023-03-10 16:00:56.770210
0,LogisticRegression,0.9629947318889148,0.963337219409624,0.963312536475558,0.9615933548677568,994.1,2023-03-10 19:34:11.038902
0,LinearSVC,0.9736177719744824,0.973310006308863,0.9736177719744824,0.9731043894939873,175.0,2023-03-10 19:37:08.407144
0,MultinomialNB,0.7878621609326327,0.8246163251030183,0.79520226006919,0.7652316774590948,35.07,2023-03-10 19:37:46.021712
0,RandomForestClassifier,0.9721210311190136,0.9710111727816738,0.9721277829675958,0.9708317524511634,17662.17,2023-03-11 00:32:10.307216
0,GradientBoostingClassifier,0.9531808347716167,0.9559902290210406,0.9531808347716167,0.9496306605111672,40091.99,2023-03-12 20:48:53.939320
0,LogisticRegression,0.962803732475804,0.9638451509561438,0.9631214740294028,0.9610881065682948,881.18,2023-03-13 14:09:54.240936
0,LinearSVC,0.9736108265412784,0.9733490545651892,0.9736108265412784,0.9730538755080088,161.92,2023-03-13 14:12:38.454614
0,MultinomialNB,0.7872197083612598,0.8261608307929198,0.7955074238750136,0.7656034553608719,33.04,2023-03-13 14:13:13.973564
0,RandomForestClassifier,0.9718744682402704,0.9705812348813408,0.9718744682402704,0.970522791732269,11608.97,2023-03-13 17:26:45.020602
0,GradientBoostingClassifier,0.9525036550342236,0.9550253800074444,0.9525135784633764,0.9488256082314074,56409.87,2023-03-14 09:06:57.047577
0,LogisticRegression,0.9626682965283252,0.9631154020137044,0.9630629409986764,0.9612844580821488,1063.66,2023-03-14 12:51:03.641318
0,LinearSVC,0.973961570918082,0.9736232686690394,0.973961570918082,0.973360585405622,207.69,2023-03-14 12:54:34.027112
0,MultinomialNB,0.7866640737049372,0.8256145717576941,0.7949459395913097,0.764888909474997,39.65,2023-03-14 12:55:16.560603
0,RandomForestClassifier,0.9725481752610616,0.9712915004844748,0.9725481752610616,0.9711808952579146,13104.94,2023-03-14 16:33:44.041530
0,GradientBoostingClassifier,0.9528578721276293,0.9551667267462054,0.9528644901842983,0.9493286877255598,23458.91,2023-03-14 23:04:45.132643
